Papel,Cotacao,PL,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PAtivCircLiq,EVEBIT,EVEBITDA,MargEBIT,MargLiq,LiqCorr,ROIC,ROE,Liq2meses,PatrimLiquido,DivBrutaPatrim,CrescRec5a
ELMD3,"31,00","39,74","4,53","3,555","0,63%","1,394","10,24","13,53","-4,49","15,97","11,64","26,26%","11,44%","1,76","13,80%","11,40%","0,00","983.781.000,00","1,45","52,68%"
RHDS3,"0,11","39,98","3,24","0,548","0,00%","0,790","-65,29","7,49","-2,70","10,70","8,06","7,31%","1,17%","0,97","11,80%","8,12%","0,00","272.045.000,00","1,49","4,38%"
RAIA3,"30,50","41,22","2,98","0,897","0,00%","1,777","4,31","18,18","5,06","16,73","16,73","4,93%","2,18%","2,20","17,80%","7,22%","0,00","635.785.000,00","0,12","0,00%"
LCAM3,"24,15","41,56","5,61","7,646","0,00%","3,901","14,69","53,23","28,83","50,97","23,21","14,36%","18,50%","6,45","9,59%","13,49%","0,00","10.845.400.000,00","0,06","10,10%"
IMCH3,"6,39","41,83","0,59","0,336","0,00%","0,289","-9,49","12,28","-0,78","21,16","6,62","2,73%","0,80%","0,82","2,55%","1,40%","0,00","920.589.000,00","0,51","21,04%"
PTQS4,"189,46","43,43","2,19","4,717","0,00%","1,577","9,89","-7.214,41","-35,73","-7.466,35","-7.466,35","-0,07%","11,37%","3,32","-0,02%","5,04%","0,00","1.714.950.000,00","0,24","56,13%"
UOLL4,"19,62","43,52","2,35","2,054","0,00%","1,403","457,14","15,14","-12,83","16,49","16,49","13,56%","4,69%","1,01","10,57%","5,40%","0,00","1.003.690.000,00","0,23","21,99%"
HETA3,"96,00","44,39","-0,14","10,614","0,00%","3,896","-22,18","11,39","-0,14","86,87","86,87","93,21%","23,91%","0,51","34,28%","-0,32%","0,00","-350.075.000,00","-0,93","18,12%"
ELCA3,"24,70","44,80","15,25","3,262","0,00%","1,935","27,01","16,67","-3,51","20,61","16,45","19,57%","9,83%","1,38","13,70%","34,03%","0,00","4.160.960.000,00","4,38","6,83%"
FRIO3,"170,18","44,97","2,98","0,441","0,00%","0,571","4,10","9,71","-6,32","16,05","9,48","4,55%","0,67%","1,26","8,09%","6,63%","9.381,05","364.200.000,00","2,26","5,88%"
MYPK4,"31,79","49,67","1,13","0,318","0,00%","0,340","1,80","5,17","-1,47","9,43","5,96","6,15%","1,41%","1,78","8,72%","2,28%","0,00","4.321.720.000,00","1,30","1,32%"
PLTO6,"10,47","50,81","692.616,00","0,690","0,00%","0,901","2,90","55,05","-1,55","56,35","56,35","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
GUAR4,"151,00","51,34","14,15","7,214","0,00%","5,092","20,95","72,05","149,33","72,20","41,93","10,01%","14,05%","1,56","9,26%","27,56%","0,00","5.352.710.000,00","0,46","9,18%"
QUAL3,"1,95","51,93","0,43","0,388","0,28%","0,141","-4,41","0,94","-0,39","2,43","1,61","41,18%","1,19%","0,91","21,55%","0,83%","10.288.500,00","1.290.440.000,00","1,37","-9,34%"
SULA11,"22,25","52,23","1,13","0,432","0,27%","0,314","0,85","-13,07","-4,60","6,62","8,51","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
DOHL4,"3,79","52,28","0,41","0,466","0,29%","0,287","0,62","-6,71","1,10","-7,99","-16,73","-6,95%","0,89%","5,27","-4,89%","0,79%","7.204,28","691.726.000,00","0,21","-2,31%"
SULA3,"7,43","52,32","1,13","0,433","0,27%","0,314","0,85","-13,09","-4,61","6,59","8,48","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
PLTO5,"10,94","53,09","723.708,00","0,721","0,00%","0,942","3,03","57,52","-1,62","58,82","58,82","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
FFTL3,"25,00","53,22","2,26","3,410","0,00%","1,508","23,71","20,90","-15,54","20,55","20,55","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
FFTL4,"25,06","53,34","2,26","3,418","0,00%","1,512","23,77","20,95","-15,58","20,60","20,60","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
SULA4,"7,63","53,73","1,17","0,444","0,26%","0,323","0,88","-13,45","-4,73","6,24","8,02","-3,30%","0,83%","2,29","-5,62%","2,17%","0,00","8.363.840.000,00","0,37","1,66%"
CBAV3,"10,22","54,97","1,55","0,757","0,00%","0,476","3,28","29,06","-1,33","42,90","9,95","2,61%","2,62%","1,83","1,98%","2,82%","86.943.200,00","4.291.890.000,00","1,05","0,08%"
BSEV3,"9,00","56,31","-10,76","0,889","0,00%","0,776","-1,59","4,40","-1,02","7,59","3,70","20,19%","1,58%","0,39","20,66%","-19,12%","0,00","-853.187.000,00","-8,95","7,12%"
GVTT3,"57,70","57,38","3,68","4,312","0,00%","2,268","21,82","25,92","-18,43","26,65","26,65","16,64%","7,52%","1,66","10,32%","6,42%","0,00","2.150.790.000,00","0,24","31,47%"
CSAB3,"30,50","58,43","1,11","312,320","0,00%","0,566","0,00","18,86","0,00","0,00","0,00","1.656,27%","534,53%","0,00","0,00%","1,89%","0,00","211.654.000,00","0,00","-17,83%"
AEDU3,"18,35","59,34","3,32","4,141","0,00%","2,159","17,00","41,06","-21,55","43,27","29,01","10,08%","6,98%","2,04","5,77%","5,60%","0,00","2.415.400.000,00","0,30","20,90%"
SUBA3,"84,00","61,95","8,39","8,067","0,00%","6,778","8,03","115,78","8,09","106,17","106,17","6,97%","13,02%","5,55","19,11%","13,54%","0,00","530.396.000,00","0,00","0,00%"
BRIV4,"12,54","70,08","0,66","0,000","2,61%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,95%","0,00","1.671.490.000,00","0,00","-44,72%"
DAGB33,"375,00","71,75","1,60","0,640","0,00%","0,510","15,24","11,87","-1,27","19,35","30,65","5,39%","1,67%","1,17","4,96%","2,24%","0,00","12.597.300.000,00","1,18","32,08%"
BRIV3,"12,86","71,86","0,68","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,95%","0,00","1.671.490.000,00","0,00","-44,72%"
CTPC3,"0,20","76,36","1,08","0,000","0,00%","0,097","0,00","-16,86","0,00","-18,75","-18,75","0,00%","0,00%","0,00","0,00%","1,41%","0,00","2.411.000,00","0,00","-6,10%"
MLFT4,"22,39","79,84","10,00","31,279","0,00%","4,897","33,28","49,98","-18,51","52,35","46,05","62,58%","39,18%","2,49","12,06%","12,52%","0,00","4.651.640.000,00","0,85","13,83%"
